Online Quiz Component,Interactive Discussion Component,Written Assessment,End of Trimester Assessment,Site total (final),Grade
19.8,10,24,37.5,91,HD
19.8,9.47,23.4,35.33,88,HD
18.99,10,24.6,30.83,85,HD
18.1,9.8,24,35.33,87,HD
19.8,9.47,25.8,29.33,85,HD
17.68,9.4,24.3,26.83,78,D
19.8,9.4,23.1,29.83,82,D
,,,,,NI
19.6,10,22.5,34.5,87,HD
18.59,10,22.8,28.5,80,D
18.18,10,23.1,27.67,79,D
19.19,9.53,20.7,25.67,75,D
18.18,9.6,23.4,25.83,77,D
18.99,10,25.5,36.67,91,HD
18.75,9.73,24,26.33,79,D
18.17,10,24.9,29.17,82,D
18.75,10,24,32.83,86,HD
18.79,8.67,22.65,25.83,76,D
18.56,8.47,23.4,25.5,79,D
18.96,10,24.6,32,86,HD
19.39,10,24,31.67,85,HD
18.59,9.53,22.2,32.33,83,D
16.44,10,23.4,30.5,80,D
