Online Quiz Component total (Real),Interactive Discussion Component total (Real),Written Assessment total (Real),End of Trimester Assessment total (Real),Site total (Real),Site total (Letter)
17.24,9.13,22.8,23.17,72,C
18.38,9.53,27,31.17,86,HD
16.31,8.13,24,29.83,78,D
16.54,8,24,30.17,79,D
18.78,10,24,31.5,84,D
17.69,10,27,31.33,86,HD
17.09,4,28,30,79,D
18.75,10,26,34,89,HD
17.6,9.73,22.5,30.33,80,D
18.08,8.27,23,30.17,80,D
16.06,10,25,28.67,83,D
18.37,7.13,23.5,28,77,D
18.17,10,25,35.67,89,HD
19.62,9.33,24.5,31.5,85,HD
18.75,10,24.6,32.83,86,HD
18.99,10,26.1,33.17,88,HD
16.36,5.6,22,32.17,76,D
18.65,10,23,32.17,84,D
18.85,9.33,25,30.83,84,D
19.13,8.93,22,37.5,88,HD
19.62,10,26.4,35,91,HD
19.33,10,24,34.33,88,HD
18.75,9.67,24,30.83,83,D
17.5,9.8,22.5,29.17,79,D
16.44,9.4,24,25,77,D
18.1,10,24,30.67,83,D
18.27,10,25.8,33.5,88,HD
19.33,10,23.7,34,87,HD
18.75,9.4,26,34.33,88,HD
18.59,9.8,24,34.33,87,HD
19.02,9.8,25.8,34.5,89,HD
17.5,9.73,21.9,29.17,78,D
17.6,5.6,20.5,30.33,74,C
18.18,9.67,24,30,82,D
18.85,9.2,23,31.67,83,D
18.18,10,20,33.5,82,D
18.94,10,22.5,30.5,82,D
17.79,9.53,26,22.17,75,D
16.09,9.87,24,29.5,81,D
17.86,9.67,23.4,32.17,83,D
17.02,10,24.5,26.83,78,D
19.81,9.53,27.5,34.83,92,HD
18.08,8.27,25,26.67,78,D
18.17,10,28,33.33,90,HD
16.97,7,27,23.17,74,C
19.04,8.13,24,29.67,81,D
19.03,7.33,24,32.5,83,D
17.3,9.4,24.9,27,79,D
18.99,8.27,25,30.5,83,D
17.98,9.53,27,36.33,91,HD
18.17,10,23.1,26.67,80,D
19.23,9.8,27,29.83,86,HD
18.59,9.47,21,31.33,80,D
17.69,9.4,24.6,29.17,81,D
18.85,9.13,27,32,87,HD
19.13,9.13,22,28.33,79,D
15.05,9.4,26,23.17,74,C
6.59,,,,,NI
17.88,10,21.6,28.67,78,D
19.04,8.8,21,30.67,80,D
19.33,10,25.5,34.17,89,HD
18.75,10,25.5,36.5,91,HD
